feature_names,feature_score
ent_q_diff_block_2_17,321.60724533877976
ent_p_11,321.60724533877976
ent_p_1,321.60724533877976
ent_p_2,321.60724533877976
ent_p_3,321.60724533877976
ent_p_4,321.60724533877976
ent_p_5,321.60724533877976
ent_p_6,321.60724533877976
ent_p_7,321.60724533877976
ent_p_8,321.60724533877976
ent_p_9,321.60724533877976
ent_p_10,321.60724533877976
ent_p_12,321.60724533877976
ent_q_diff_diffs_3_median,321.60724533877976
ent_p_13,321.60724533877976
ent_p_14,321.60724533877976
ent_p_15,321.60724533877976
ent_p_16,321.60724533877976
ent_p_17,321.60724533877976
ent_p_18,321.60724533877976
ent_p_19,321.60724533877976
ent_p_diffs_1,321.60724533877976
ent_p_diffs_2,321.60724533877976
ent_p_diffs_3,321.60724533877976
ent_q_diff_diffs_3_max,321.60724533877976
string_len_counts_98,321.60724533877976
ent_p_diffs_13,321.60724533877976
asm_md_loc,321.60724533877976
ent_q_diff_diffs_1_min,321.60724533877976
asm_opcodes_cmp,321.60724533877976
asm_opcodes_cmc,321.60724533877976
ent_q_diff_diffs_1_max-min,321.60724533877976
ent_q_diff_block_2_0,321.60724533877976
asm_opcodes_call,321.60724533877976
ent_q_diff_block_2_15,321.60724533877976
ent_q_diff_block_2_16,321.60724533877976
ent_q_diff_block_2_19,321.60724533877976
ent_q_diff_diffs_2_mean,321.60724533877976
asm_md_filesize,321.60724533877976
ent_q_diff_diffs_3_mean,321.60724533877976
string_len_counts_6000_15000,321.60724533877976
ent_q_diff_diffs_2_median,321.60724533877976
ent_q_diff_diffs_2_max,321.60724533877976
ent_q_diff_diffs_2_min,321.60724533877976
ent_q_diff_diffs_2_max-min,321.60724533877976
string_len_counts_600_900,321.60724533877976
ent_q_diff_block_3_0,321.60724533877976
ent_q_diff_block_3_16,321.60724533877976
ent_q_diff_block_3_17,321.60724533877976
ent_q_diff_block_3_18,321.60724533877976
ent_p_diffs_11,321.60724533877976
ent_p_diffs_14,321.60724533877976
asm_opcodes_db,321.60724533877976
byte_Img1_40,321.60724533877976
byte_Img1_29,321.60724533877976
byte_Img1_30,321.60724533877976
byte_Img1_31,321.60724533877976
byte_Img1_32,321.60724533877976
byte_Img1_33,321.60724533877976
byte_Img1_34,321.60724533877976
byte_Img1_36,321.60724533877976
byte_Img1_37,321.60724533877976
byte_Img1_38,321.60724533877976
byte_Img1_39,321.60724533877976
byte_Img1_41,321.60724533877976
byte_Img1_27,321.60724533877976
byte_Img1_42,321.60724533877976
byte_Img1_43,321.60724533877976
byte_Img1_44,321.60724533877976
byte_Img1_45,321.60724533877976
byte_Img1_46,321.60724533877976
byte_Img1_47,321.60724533877976
byte_Img1_49,321.60724533877976
byte_Img1_51,321.60724533877976
string_len_counts_2,321.60724533877976
string_len_counts_4,321.60724533877976
byte_Img1_28,321.60724533877976
byte_Img1_26,321.60724533877976
byte_Img1_0,321.60724533877976
byte_Img1_12,321.60724533877976
byte_Img1_1,321.60724533877976
byte_Img1_2,321.60724533877976
byte_Img1_3,321.60724533877976
byte_Img1_4,321.60724533877976
byte_Img1_5,321.60724533877976
byte_Img1_6,321.60724533877976
byte_Img1_7,321.60724533877976
byte_Img1_8,321.60724533877976
byte_Img1_10,321.60724533877976
byte_Img1_11,321.60724533877976
byte_Img1_13,321.60724533877976
byte_Img1_25,321.60724533877976
byte_Img1_14,321.60724533877976
byte_Img1_15,321.60724533877976
byte_Img1_16,321.60724533877976
string_len_counts_52,321.60724533877976
byte_Img1_17,321.60724533877976
byte_Img1_18,321.60724533877976
byte_Img1_19,321.60724533877976
byte_Img1_20,321.60724533877976
byte_Img1_21,321.60724533877976
byte_Img1_23,321.60724533877976
ent_q_diff_diffs_1_max,321.60724533877976
string_len_counts_5,321.60724533877976
asm_opcodes_sti,321.60724533877976
asm_opcodes_jz,321.60724533877976
ent_q_diffs_median,321.60724533877976
asm_opcodes_near,321.60724533877976
ent_q_diffs_max,321.60724533877976
byte_1G_eb,321.60724533877976
byte_1G_e9,321.60724533877976
byte_1G_e8,321.60724533877976
ent_q_diff_diffs_10,321.60724533877976
ent_q_diffs_mean,321.60724533877976
asm_opcodes_jnz,321.60724533877976
ent_q_diff_diffs_11,321.60724533877976
byte_1G_c7,321.60724533877976
asm_opcodes_jmp,321.60724533877976
byte_1G_c6,321.60724533877976
asm_opcodes_jge,321.60724533877976
ent_q_diffs_var,321.60724533877976
asm_opcodes_out,321.60724533877976
byte_1G_c4,321.60724533877976
ent_q_diffs_17,321.60724533877976
asm_opcodes_sal,321.60724533877976
byte_offset,321.60724533877976
ent_q_diffs_0,321.60724533877976
asm_opcodes_retn,321.60724533877976
ent_q_diffs_15,321.60724533877976
ent_q_diffs_16,321.60724533877976
byte_1G_fe,321.60724533877976
ent_q_diffs_19,321.60724533877976
byte_1G_fc,321.60724533877976
byte_1G_f8,321.60724533877976
ent_q_diffs_18,321.60724533877976
byte_1G_f0,321.60724533877976
asm_opcodes_proc,321.60724533877976
byte_1G_ec,321.60724533877976
byte_1G_ff,321.60724533877976
byte_filesize,321.60724533877976
asm_opcodes_test,321.60724533877976
byte_1G_83,321.60724533877976
ent_q_diff_block_1_17,321.60724533877976
byte_1G_8b,321.60724533877976
byte_1G_89,321.60724533877976
byte_1G_88,321.60724533877976
byte_1G_85,321.60724533877976
byte_1G_84,321.60724533877976
ent_q_diff_block_1_19,321.60724533877976
ent_q_diff_block_1_16,321.60724533877976
ent_q_diff_diffs_1_mean,321.60724533877976
ent_q_diff_diffs_1_var,321.60724533877976
ent_q_diff_diffs_1_median,321.60724533877976
byte_1G_7d,321.60724533877976
asm_opcodes_endp,321.60724533877976
asm_opcodes_dw,321.60724533877976
byte_1G_c3,321.60724533877976
byte_1G_8d,321.60724533877976
asm_regs_cs,321.60724533877976
byte_1G_b6,321.60724533877976
byte_1G_c1,321.60724533877976
ent_q_diff_block_1_0,321.60724533877976
ent_q_diff_diffs_0_median,321.60724533877976
byte_1G_be,321.60724533877976
ent_q_diff_diffs_0_mean,321.60724533877976
ent_q_diff_block_0_19,321.60724533877976
ent_q_diff_block_0_18,321.60724533877976
asm_regs_gs,321.60724533877976
ent_q_diff_block_0_17,321.60724533877976
ent_q_diff_block_0_16,321.60724533877976
asm_regs_fs,321.60724533877976
ent_q_diff_block_0_0,321.60724533877976
ent_p_diffs_9,319.5231697710011
asm_regs_ebp,319.3044816303068
asm_opcodes_pop,318.6048891797559
asm_opcodes_lea,318.02274224019436
asm_opcodes_push,313.62239861073874
asm_opcodes_dd,311.21387268196787
asm_symb_Plus,310.5335674340334
asm_opcodes_rcr,309.4870296469268
asm_regs_ds,307.31906356676984
ent_q_diff_diffs_3_var,304.5328187791223
asm_opcodes_setz,303.56880168272056
ent_q_diff_block_3_15,302.77945243656785
